i,gPopulation,gDiffusionRate,gEvaporationRate,medFood1,medFood2,medFood3
64.0,125.0,25.0,25.0,324.5,1226.0,2337.5
66.0,125.0,25.0,25.0,322.0,1217.0,2341.0
63.0,125.0,25.0,25.0,325.0,1229.0,2350.0
65.0,125.0,25.0,25.0,318.0,1221.0,2351.5
68.0,125.0,25.0,25.0,321.5,1220.0,2351.0
70.0,125.0,25.0,25.0,322.0,1216.5,2358.0
73.0,125.0,25.0,25.0,319.0,1222.5,2343.0
67.0,125.0,25.0,25.0,322.0,1219.0,2350.0
71.0,125.0,25.0,25.0,320.0,1215.0,2341.0
69.0,125.0,25.0,25.0,327.0,1218.0,2351.0
75.0,125.0,25.0,25.0,318.5,1237.5,2342.5
80.0,125.0,25.0,25.0,322.0,1219.5,2345.0
79.0,125.0,25.0,25.0,321.0,1213.0,2348.0
76.0,125.0,25.0,25.0,322.0,1231.5,2344.0
82.0,125.0,25.0,25.0,319.0,1211.0,2353.0
74.0,125.0,25.0,25.0,321.5,1234.0,2342.5
85.0,125.0,25.0,25.0,319.0,1215.0,2341.0
88.0,125.0,25.0,25.0,321.0,1223.0,2332.5
87.0,125.0,25.0,25.0,322.0,1219.5,2340.0
81.0,125.0,25.0,25.0,324.0,1222.0,2328.0
86.0,125.0,25.0,25.0,317.0,1231.0,2353.0
91.0,125.0,25.0,25.0,319.0,1219.0,2349.5
84.0,125.0,25.0,25.0,318.0,1218.0,2351.0
93.0,125.0,25.0,25.0,318.5,1222.0,2344.0
90.0,125.0,25.0,25.0,322.0,1229.0,2355.0
83.0,125.0,25.0,25.0,325.0,1217.0,2349.0
95.0,125.0,25.0,25.0,319.0,1220.5,2351.0
89.0,125.0,25.0,25.0,321.0,1206.0,2338.0
92.0,125.0,25.0,25.0,321.0,1223.5,2349.0
36.0,125.0,25.0,25.0,324.0,1228.0,2337.0
29.0,125.0,25.0,25.0,321.0,1227.0,2365.5
32.0,125.0,25.0,25.0,319.0,1220.0,2346.0
99.0,125.0,25.0,25.0,320.5,1222.0,2336.5
33.0,125.0,25.0,25.0,323.0,1223.0,2342.0
3.0,125.0,25.0,25.0,322.0,1225.0,2339.0
31.0,125.0,25.0,25.0,319.0,1221.0,2348.0
4.0,125.0,25.0,25.0,319.0,1222.0,2349.0
5.0,125.0,25.0,25.0,319.5,1228.0,2341.0
98.0,125.0,25.0,25.0,320.0,1210.5,2355.5
21.0,125.0,25.0,25.0,318.0,1226.5,2338.0
100.0,125.0,25.0,25.0,323.5,1225.0,2344.0
8.0,125.0,25.0,25.0,319.0,1229.0,2349.5
10.0,125.0,25.0,25.0,320.0,1226.0,2343.5
28.0,125.0,25.0,25.0,319.0,1216.0,2354.0
78.0,125.0,25.0,25.0,318.0,1225.5,2336.5
52.0,125.0,25.0,25.0,319.0,1232.0,2338.0
14.0,125.0,25.0,25.0,322.5,1225.5,2349.5
38.0,125.0,25.0,25.0,321.5,1222.0,2344.5
43.0,125.0,25.0,25.0,316.0,1227.0,2340.0
96.0,125.0,25.0,25.0,318.0,1218.5,2348.5
17.0,125.0,25.0,25.0,322.0,1230.0,2345.5
9.0,125.0,25.0,25.0,321.0,1227.0,2356.0
6.0,125.0,25.0,25.0,322.5,1219.5,2347.0
20.0,125.0,25.0,25.0,323.0,1225.0,2344.5
25.0,125.0,25.0,25.0,320.5,1218.0,2363.0
30.0,125.0,25.0,25.0,323.0,1221.0,2342.5
72.0,125.0,25.0,25.0,320.0,1227.5,2337.5
18.0,125.0,25.0,25.0,318.0,1223.5,2345.0
11.0,125.0,25.0,25.0,320.0,1227.0,2354.0
62.0,125.0,25.0,25.0,320.0,1218.5,2344.0
97.0,125.0,25.0,25.0,318.0,1223.0,2343.0
40.0,125.0,25.0,25.0,319.5,1225.5,2333.0
45.0,125.0,25.0,25.0,325.5,1218.0,2349.0
27.0,125.0,25.0,25.0,323.0,1229.0,2335.5
16.0,125.0,25.0,25.0,321.0,1231.0,2344.0
13.0,125.0,25.0,25.0,323.0,1218.0,2342.5
35.0,125.0,25.0,25.0,321.0,1222.5,2332.0
39.0,125.0,25.0,25.0,320.0,1228.5,2348.0
12.0,125.0,25.0,25.0,317.0,1217.5,2352.0
44.0,125.0,25.0,25.0,323.5,1233.5,2339.0
1.0,125.0,25.0,25.0,323.0,1218.5,2348.5
46.0,125.0,25.0,25.0,320.5,1218.5,2348.0
51.0,125.0,25.0,25.0,322.5,1222.5,2365.5
26.0,125.0,25.0,25.0,321.0,1216.0,2344.5
0.0,125.0,25.0,25.0,320.0,1213.0,2348.0
94.0,125.0,25.0,25.0,322.0,1221.5,2345.0
23.0,125.0,25.0,25.0,324.0,1220.0,2353.5
7.0,125.0,25.0,25.0,320.0,1226.5,2355.0
41.0,125.0,25.0,25.0,322.0,1227.0,2347.0
42.0,125.0,25.0,25.0,315.0,1237.0,2351.0
54.0,125.0,25.0,25.0,319.0,1217.0,2353.5
50.0,125.0,25.0,25.0,318.0,1213.0,2338.0
61.0,125.0,25.0,25.0,320.0,1224.5,2338.0
47.0,125.0,25.0,25.0,317.0,1222.0,2340.0
19.0,125.0,25.0,25.0,322.5,1228.0,2335.5
57.0,125.0,25.0,25.0,326.0,1230.0,2333.0
49.0,125.0,25.0,25.0,322.0,1230.5,2335.5
24.0,125.0,25.0,25.0,317.0,1215.5,2346.0
77.0,125.0,25.0,25.0,322.0,1223.0,2351.5
53.0,125.0,25.0,25.0,319.5,1227.0,2352.0
59.0,125.0,25.0,25.0,321.0,1211.0,2339.5
34.0,125.0,25.0,25.0,318.0,1218.5,2358.0
56.0,125.0,25.0,25.0,319.0,1224.5,2348.5
48.0,125.0,25.0,25.0,319.0,1231.0,2339.5
15.0,125.0,25.0,25.0,325.0,1225.0,2332.5
55.0,125.0,25.0,25.0,322.0,1225.5,2340.5
60.0,125.0,25.0,25.0,322.0,1233.5,2349.0
22.0,125.0,25.0,25.0,322.0,1217.0,2351.5
2.0,125.0,25.0,25.0,325.5,1210.0,2354.5
58.0,125.0,25.0,25.0,320.0,1229.0,2351.5
37.0,125.0,25.0,25.0,315.0,1229.0,2355.0
